what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1433071392949
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1433071403679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433071405416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433071410028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433071412921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433071414897
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1433071414918
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1433071431381
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433071432798
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433071434564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433071437048
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1433071437064
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1433071513220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433071514561
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433071516057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433071518689
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1433071518714
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1433071531635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433071539626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433071545706
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433071556237
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433071557389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433071559462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433071563127
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1433071563155
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1433071574840
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1433071605085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1433071606769
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1433071607193
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433071609946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1433071611962
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1433071611980
